
    Input_energy(t,conv,z) := data table 
                               1         2         3         4         5         6         7         8         9        10        11
                     !  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------  --------
(   1, Gas_CHP       )                                                                                             499.444          
(  86, Solar_thermal )     6.881     6.881     6.881               6.881     6.881     6.881     6.881     6.881     6.881          
(  87, Gas_CHP       )  3633.333  3633.333  3633.333  3627.602  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3627.602
(  87, Heat_pump     )   184.969   184.969   184.969   183.250   184.969   184.969   184.969   184.969   184.969   184.969   183.250
(  87, Solar_PV      )   932.594   932.594   932.594   932.594   932.594   932.594   932.594   932.594   932.594   932.594   932.594
(  87, Solar_thermal )     9.536     9.536     9.536     9.536     9.536     9.536     9.536     9.536     9.536     9.536     9.536
(  88, Gas_CHP       )  3003.226  3003.226  3032.012  3003.226  3003.226  3003.226  3003.226  3003.226  3003.226  3003.226  3003.226
(  88, Heat_pump     )                         8.636                                                                                
(  88, Solar_PV      )   797.455   797.455   797.455   797.455   797.455   797.455   797.455   797.455   797.455   797.455   797.455
(  88, Solar_thermal )     8.154     8.154     8.154     8.154     8.154     8.154     8.154     8.154     8.154     8.154     8.154
(  89, Gas_CHP       )  3406.860  3434.942  3633.333  3361.752  3406.860  3406.860  3361.752  3406.860  3361.752  3406.860  3361.752
(  89, Heat_pump     )    93.172   101.597    11.114    79.640    93.172    93.172    79.640    93.172    79.640    93.172    79.640
(  89, Solar_PV      )    85.982    85.982    85.982    85.982    85.982    85.982    85.982    85.982    85.982    85.982    85.982
(  89, Solar_thermal )     0.879     0.879     0.879     0.879     0.879     0.879     0.879     0.879     0.879     0.879     0.879
(  90, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  91, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  91, Heat_pump     )     1.344     1.344     1.344     1.344     1.344     1.344     1.344     1.344     1.344     1.344     1.344
(  92, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  93, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(  94, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3516.378
(  95, Gas_CHP       )  1426.782  1426.782  1426.782  1426.782  1426.782  1426.782  1426.782  1426.782  1426.782  1426.782  1787.010
(  96, Gas_CHP       )   463.391   463.391   963.391   463.391   963.391   463.391   963.391   463.391   463.391   463.391   463.391
(  97, Gas_CHP       )   463.391   463.391   963.391   463.391   463.391   463.391   463.391   463.391   463.391   463.391   463.391
(  98, Gas_CHP       )   463.391   463.391   463.391   463.391   463.391   463.391   463.391   463.391   463.391   463.391   963.391
(  99, Gas_CHP       )   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391
( 100, Gas_CHP       )   966.091   966.091   966.091   966.091   966.091   966.091   966.091   966.091   966.091   966.091  1377.649
( 101, Gas_CHP       )   658.532   658.532   658.532   658.532   658.532   658.532   658.532   658.532   658.532  1151.716   658.532
( 102, Gas_CHP       )   581.221   581.221   581.221   581.221   581.221   581.221   581.221   581.221   581.221   581.221   581.221
( 103, Gas_CHP       )   694.344   694.344   694.344   694.344   694.344   694.344   694.344   694.344   694.344   694.344   694.344
( 103, Heat_pump     )    43.636    43.636    43.636    43.636    43.636    43.636    43.636    43.636    43.636    43.636    43.636
( 104, Gas_CHP       )  1405.937  1405.937  1240.359  1405.937  1274.797  1895.328  1274.797  1405.937  1405.937  1250.196  1560.479
( 104, Heat_pump     )   225.065   225.065   175.392   225.065   185.723   223.927   185.723   225.065   225.065   178.343   123.472
( 105, Gas_CHP       )  3633.333  3633.333  3560.077  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3606.932
( 105, Heat_pump     )   581.573   581.573   559.597   581.573   581.573   504.121   581.573   581.573   581.573   581.573   573.653
( 105, Solar_PV      )   236.801   236.801   236.801   236.801   236.801   236.801   236.801   236.801   236.801   236.801   236.801
( 105, Solar_thermal )     2.421     2.421     2.421     2.421     2.421     2.421     2.421     2.421     2.421     2.421     2.421
( 106, Gas_CHP       )  3066.614  3066.614  3066.614  3066.614  3066.614  3066.614  3066.614  3066.614  3391.157  3066.614  3391.157
( 106, Heat_pump     )   592.717   592.717   592.717   592.717   592.717   592.717   592.717   592.717   540.080   592.717   540.080
( 106, Solar_PV      )  1431.399  1431.399  1431.399  1431.399  1431.399  1431.399  1431.399  1431.399  1431.399  1431.399  1431.399
( 106, Solar_thermal )    14.636    14.636    14.636    14.636    14.636    14.636    14.636    14.636    14.636    14.636    14.636
( 107, Gas_CHP       )  2754.913  2754.913  2754.913  2754.913  2754.913  2754.913  2754.913  2754.913  2754.913  2754.913  2754.913
( 107, Heat_pump     )   578.846   578.846   578.846   578.846   578.846   578.846   578.846   578.846   578.846   578.846   578.846
( 107, Solar_PV      )  2741.227  2741.227  2741.227  2741.227  2741.227  2741.227  2741.227  2741.227  2741.227  2741.227  2741.227
( 107, Solar_thermal )    28.029    28.029    28.029    28.029    28.029    28.029    28.029    28.029    28.029    28.029    28.029
( 108, Gas_CHP       )  1204.748  1204.748  1204.748  1204.748  1204.748  1204.748  1204.748  1204.748  1204.748  1204.748  1204.748
( 108, Heat_pump     )   111.999   111.999   111.999   111.999   111.999   111.999   111.999   111.999   111.999   111.999   111.999
( 108, Solar_PV      )  3473.882  3473.882  3473.882  3473.882  3473.882  3473.882  3473.882  3473.882  3473.882  3473.882  3473.882
( 108, Solar_thermal )    35.520    35.520    35.520    35.520    35.520    35.520    35.520    35.520    35.520    35.520    35.520
( 109, Gas_CHP       )  2767.955  2767.955  2767.955  2767.955  2767.955  2767.955  2767.955  2767.955  2767.955  2767.955  2767.955
( 109, Heat_pump     )   325.643   325.643   325.643   325.643   325.643   325.643   325.643   325.643   325.643   325.643   325.643
( 109, Solar_PV      )  3481.539  3481.539  3481.539  3481.539  3481.539  3481.539  3481.539  3481.539  3481.539  3481.539  3481.539
( 109, Solar_thermal )    35.599    35.599    35.599    35.599    35.599    35.599    35.599    35.599    35.599    35.599    35.599
( 110, Gas_CHP       )  1713.083  1713.083  1713.083  1713.083  1713.083  1713.083  1713.083  1713.083  1713.083  1713.083  1713.083
( 110, Solar_PV      )  3079.210  3079.210  3079.210  3079.210  3079.210  3079.210  3079.210  3079.210  3079.210  3079.210  3079.210
( 110, Solar_thermal )    31.485    31.485    31.485    31.485    31.485    31.485    31.485    31.485    31.485    31.485    31.485
( 111, Gas_CHP       )  3472.406  3472.406  3472.406  3472.406  3472.406  3472.406  3472.406  3472.406  3472.406  3472.406  3472.406
( 111, Heat_pump     )   119.488   119.488   119.488   119.488   119.488   119.488   119.488   119.488   119.488   119.488   119.488
( 111, Solar_PV      )  2223.895  2223.895  2223.895  2223.895  2223.895  2223.895  2223.895  2223.895  2223.895  2223.895  2223.895
( 111, Solar_thermal )    22.739    22.739    22.739    22.739    22.739    22.739    22.739    22.739    22.739    22.739    22.739
( 112, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 112, Solar_PV      )   901.339   901.339   901.339   901.339   901.339   901.339   901.339   901.339   901.339   901.339   901.339
( 112, Solar_thermal )     9.216     9.216     9.216     9.216     9.216     9.216     9.216     9.216     9.216     9.216     9.216
( 113, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 113, Solar_PV      )    66.419    66.419    66.419    66.419    66.419    66.419    66.419    66.419    66.419    66.419    66.419
( 113, Solar_thermal )     0.679     0.679     0.679     0.679     0.679     0.679     0.679     0.679     0.679     0.679     0.679
( 114, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 114, Heat_pump     )   191.969   191.969   191.969   191.969   191.969   191.969   191.969   191.969   191.969   191.969   191.969
( 115, Gas_CHP       )  2890.173  2890.173  2890.173  2890.173  2890.173  2890.173  2890.173  2890.173  2890.173  2890.173  2890.173
( 116, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 117, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 117, Heat_pump     )   191.969   191.969   191.969   191.969   191.969   191.969   191.969   191.969   191.969   191.969   191.969
( 118, Gas_CHP       )  2549.334  2549.334  2890.173  2549.334  2549.334  2549.334  2549.334  2549.334  2549.334  2549.334  2549.334
( 119, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 119, Heat_pump     )   150.000   150.000   150.000   150.000   150.000   150.000   150.000   150.000   150.000   150.000   150.000
( 120, Gas_CHP       )  2167.630  2167.630  2167.630  2167.630  2167.630  2167.630  2167.630  2167.630  2167.630  2167.630  2167.630
( 121, Gas_CHP       )   658.254   658.254   658.254   658.254   658.254   658.254   658.254   658.254   658.254   658.254   658.254
( 122, Gas_CHP       )   634.358   634.358   634.358   634.358   634.358   634.358   634.358   634.358   634.358   634.358   634.358
( 123, Gas_CHP       )   475.049   475.049   475.049   475.049   963.391   475.049   475.049   475.049   475.049   475.049   963.391
( 124, Gas_CHP       )   569.698   569.698   569.698   569.698   569.698   569.698   569.698   569.698   569.698   569.698   569.698
( 125, Gas_CHP       )  1007.557  1007.557  1007.557  1007.557  1007.557  1007.557  1007.557  1007.557  1007.557  1007.557  1007.557
( 126, Gas_CHP       )   846.802   846.802   846.802   846.802   788.979   846.802   846.802   846.802   846.802  1288.979   827.812
( 126, Heat_pump     )    17.347    17.347    17.347    17.347              17.347    17.347    17.347    17.347              11.650
( 127, Gas_CHP       )  1555.941  1555.941  1555.941  1555.941  1518.561  1555.941  1555.941  1555.941  1555.941  1555.941  1555.941
( 127, Heat_pump     )    60.146    60.146    60.146    60.146    48.932    60.146    60.146    60.146    60.146    60.146    60.146
( 128, Gas_CHP       )  3549.261  3132.042  3132.042  3132.042  3549.261  3132.042  3132.042  3132.042  3132.042  3132.042  3132.042
( 128, Heat_pump     )              24.834    24.834    24.834              24.834    24.834    24.834    24.834    24.834    24.834
( 129, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 129, Heat_pump     )   504.405   504.405   504.405   504.405   504.405   504.405   504.405   504.405   504.405   504.405   504.405
( 129, Solar_PV      )    43.353    43.353    43.353    43.353    43.353    43.353    43.353    43.353    43.353    43.353    43.353
( 129, Solar_thermal )     0.443     0.443     0.443     0.443     0.443     0.443     0.443     0.443     0.443     0.443     0.443
( 130, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 130, Heat_pump     )   365.428   365.428   365.428   365.428   365.428   365.428   365.428   365.428   365.428   365.428   365.428
( 130, Solar_PV      )   266.732   266.732   266.732   266.732   266.732   266.732   266.732   266.732   266.732   266.732   266.732
( 130, Solar_thermal )     2.727     2.727     2.727     2.727     2.727     2.727     2.727     2.727     2.727     2.727     2.727
( 131, Gas_CHP       )  2866.288  2866.288  2866.288  2866.288  2866.288  2866.288  2866.288  2866.288  2866.288  2866.288  2866.288
( 131, Heat_pump     )   564.051   564.051   564.051   564.051   564.051   564.051   564.051   564.051   564.051   564.051   564.051
( 131, Solar_PV      )   517.335   517.335   517.335   517.335   517.335   517.335   517.335   517.335   517.335   517.335   517.335
( 131, Solar_thermal )     5.290     5.290     5.290     5.290     5.290     5.290     5.290     5.290     5.290     5.290     5.290
( 132, Gas_CHP       )  1926.069  1926.069  1926.069  1926.069  1926.069  1926.069  1926.069  1926.069  1926.069  1926.069  1926.069
( 132, Solar_PV      )   611.626   611.626   611.626   611.626   611.626   611.626   611.626   611.626   611.626   611.626   611.626
( 132, Solar_thermal )     6.254     6.254     6.254     6.254     6.254     6.254     6.254     6.254     6.254     6.254     6.254
( 133, Gas_CHP       )  3254.524  3254.524  3254.524  3254.524  3254.524  3579.068  3254.524  3254.524  3254.524  3254.524  3254.524
( 133, Heat_pump     )   250.884   250.884   250.884   250.884   250.884   198.247   250.884   250.884   250.884   250.884   250.884
( 133, Solar_PV      )   653.372   653.372   653.372   653.372   653.372   653.372   653.372   653.372   653.372   653.372   653.372
( 133, Solar_thermal )     6.681     6.681     6.681     6.681     6.681     6.681     6.681     6.681     6.681     6.681     6.681
( 134, Gas_CHP       )  1366.776  1366.776  1366.776  1366.776  1366.776  1366.776  1366.776  1366.776  1366.776  1366.776  1366.776
( 134, Solar_PV      )   529.968   529.968   529.968   529.968   529.968   529.968   529.968   529.968   529.968   529.968   529.968
( 134, Solar_thermal )     5.419     5.419     5.419     5.419     5.419     5.419     5.419     5.419     5.419     5.419     5.419
( 135, Gas_CHP       )  2491.166  2491.166  2491.166  2491.166  2491.166  2491.166  2815.710  2491.166  2491.166  2491.166  2491.166
( 135, Heat_pump     )   281.325   281.325   281.325   281.325   281.325   281.325   228.688   281.325   281.325   281.325   281.325
( 135, Solar_PV      )   392.080   392.080   392.080   392.080   392.080   392.080   392.080   392.080   392.080   392.080   392.080
( 135, Solar_thermal )     4.009     4.009     4.009     4.009     4.009     4.009     4.009     4.009     4.009     4.009     4.009
( 136, Gas_CHP       )  2017.059  2017.059  2017.059  2017.059  2017.059  2017.059  2017.059  2017.059  2017.059  2017.059  2017.059
( 136, Heat_pump     )   174.040   174.040   174.040   174.040   174.040   174.040   174.040   174.040   174.040   174.040   174.040
( 136, Solar_PV      )   259.161   259.161   259.161   259.161   259.161   259.161   259.161   259.161   259.161   259.161   259.161
( 136, Solar_thermal )     2.650     2.650     2.650     2.650     2.650     2.650     2.650     2.650     2.650     2.650     2.650
( 137, Gas_CHP       )  2462.037  2546.697  2489.820  2546.697  2418.815  2871.241  2546.697  2546.697  2546.697  2441.375  2418.815
( 137, Heat_pump     )   150.299   175.697   158.634   175.697   137.332   123.060   175.697   175.697   175.697   144.100   137.332
( 137, Solar_PV      )    36.678    36.678    36.678    36.678    36.678    36.678    36.678    36.678    36.678    36.678    36.678
( 137, Solar_thermal )     0.375     0.375     0.375     0.375     0.375     0.375     0.375     0.375     0.375     0.375     0.375
( 138, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 138, Gas_boiler    )                                 510.638                                                                      
( 138, Heat_pump     )   191.969   191.969   191.969    41.969   191.969   191.969   191.969   191.969   191.969   191.969   191.969
( 139, Gas_CHP       )  2390.173  2476.245  2390.173  2390.173  2390.173  2390.173  2390.173  2390.173  2390.173  2390.173  2390.173
( 139, Heat_pump     )              25.822                                                                                          
( 140, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 141, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 141, Heat_pump     )   322.368   322.368   322.368   322.368   322.368   322.368   322.368   322.368   322.368   322.368   322.368
( 142, Gas_CHP       )  2577.878  2687.466  2577.878  2577.878  2577.878  2577.878  2577.878  2577.878  2577.878  2577.878  2577.878
( 142, Heat_pump     )              32.877                                                                                          
( 143, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 143, Gas_boiler    )             231.836                                                                                          
( 143, Heat_pump     )   165.101    25.429   165.101   165.101   165.101   165.101   165.101   165.101   165.101   165.101   165.101
( 144, Gas_CHP       )  1877.033  1877.033  1877.033  1877.033  1877.033  1877.033  1877.033  1877.033  1877.033  1877.033  1877.033
( 145, Gas_CHP       )   463.391   463.391   463.391   463.391   463.391   463.391   463.391   963.391   463.391   463.391   463.391
( 146, Gas_CHP       )   954.143   954.143   954.143   954.143   954.143   954.143   954.143   954.143   954.143   954.143   954.143
( 147, Gas_CHP       )   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391   963.391
( 148, Gas_CHP       )   868.706  1319.201   819.201   868.706   819.201   868.706   869.799   819.201   868.706   819.201   868.706
( 148, Heat_pump     )    14.852                        14.852              14.852    15.179              14.852              14.852
( 149, Gas_CHP       )   841.035   734.837   700.536   841.035   700.536   841.035   841.035   753.526   841.035   739.695   841.035
( 149, Heat_pump     )    76.095    44.235    33.945    76.095    33.945    76.095    76.095    49.842    76.095    45.692    76.095
( 150, Gas_CHP       )   959.416   959.416   959.416   959.416   959.416   959.416   959.416   959.416   959.416   959.416   959.416
( 150, Heat_pump     )   100.645   100.645   100.645   100.645   100.645   100.645   100.645   100.645   100.645   100.645   100.645
( 151, Gas_CHP       )  2107.921  2107.921  2107.921  2107.921  2107.921  2107.921  2107.921  2107.921  2431.742  2107.921  2107.921
( 151, Heat_pump     )   236.247   236.247   236.247   236.247   236.247   236.247   236.247   236.247   183.727   236.247   236.247
( 152, Gas_CHP       )  3617.066  3617.066  3617.066  3617.066  3617.066  3617.066  3617.066  3617.066  3617.066  3617.066  3617.066
( 152, Heat_pump     )   452.420   452.420   452.420   452.420   452.420   452.420   452.420   452.420   452.420   452.420   452.420
( 153, Gas_CHP       )  3322.211  3633.333  3322.211  3322.211  3322.211  3322.211  3322.211  3322.211  3322.211  3322.211  3322.211
( 153, Heat_pump     )   607.523   550.859   607.523   607.523   607.523   607.523   607.523   607.523   607.523   607.523   607.523
( 153, Solar_PV      )   361.422   361.422   361.422   361.422   361.422   361.422   361.422   361.422   361.422   361.422   361.422
( 153, Solar_thermal )     3.696     3.696     3.696     3.696     3.696     3.696     3.696     3.696     3.696     3.696     3.696
( 154, Gas_CHP       )  2755.765  2755.765  2755.765  2755.765  3080.309  2755.765  2755.765  2755.765  2755.765  2755.765  2755.765
( 154, Heat_pump     )   643.839   643.839   643.839   643.839   591.202   643.839   643.839   643.839   643.839   643.839   643.839
( 154, Solar_PV      )  2013.858  2013.858  2013.858  2013.858  2013.858  2013.858  2013.858  2013.858  2013.858  2013.858  2013.858
( 154, Solar_thermal )    20.592    20.592    20.592    20.592    20.592    20.592    20.592    20.592    20.592    20.592    20.592
( 155, Gas_CHP       )  1428.616  1428.616  1753.159  1428.616  1428.616  1428.616  1428.616  1428.616  1428.616  1428.616  1428.616
( 155, Heat_pump     )   592.617   592.617   539.980   592.617   592.617   592.617   592.617   592.617   592.617   592.617   592.617
( 155, Solar_PV      )  3651.499  3651.499  3651.499  3651.499  3651.499  3651.499  3651.499  3651.499  3651.499  3651.499  3651.499
( 155, Solar_thermal )    37.336    37.336    37.336    37.336    37.336    37.336    37.336    37.336    37.336    37.336    37.336
( 156, Gas_CHP       )    13.083    13.083    13.083    13.083    13.083    13.083    13.083    13.083    13.083    13.083    13.083
( 156, Heat_pump     )   410.146   410.146   410.146   410.146   410.146   410.146   410.146   410.146   410.146   410.146   410.146
( 156, Solar_PV      )  4410.019  4410.019  4410.019  4410.019  4410.019  4410.019  4410.019  4410.019  4410.019  4410.019  4410.019
( 156, Solar_thermal )    45.092    45.092    45.092    45.092    45.092    45.092    45.092    45.092    45.092    45.092    45.092
( 157, Gas_CHP       )  1277.985  1277.985  1776.311  1277.985  1776.311  1277.985  1277.985  1277.985  1277.985  1277.985  1277.985
( 157, Heat_pump     )   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500
( 157, Solar_PV      )  4620.031  4620.031  4620.031  4620.031  4620.031  4620.031  4620.031  4620.031  4620.031  4620.031  4620.031
( 157, Solar_thermal )    47.240    47.240    47.240    47.240    47.240    47.240    47.240    47.240    47.240    47.240    47.240
( 158, Gas_CHP       )   244.562   244.562   244.562   244.562   568.019   244.562   244.562   244.562   244.562   244.562   244.562
( 158, Heat_pump     )   317.905   317.905   317.905   317.905   265.444   317.905   317.905   317.905   317.905   317.905   317.905
( 158, Solar_PV      )  4417.438  4417.438  4417.438  4417.438  4417.438  4417.438  4417.438  4417.438  4417.438  4417.438  4417.438
( 158, Solar_thermal )    45.168    45.168    45.168    45.168    45.168    45.168    45.168    45.168    45.168    45.168    45.168
( 159, Gas_CHP       )  1778.553  2119.162  1778.553  1778.553  1778.553  1778.553  1778.553  1778.553  1778.553  1778.553  1778.553
( 159, Heat_pump     )   687.500   640.185   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500
( 159, Solar_PV      )  3521.781  3521.781  3521.781  3521.781  3521.781  3521.781  3521.781  3521.781  3521.781  3521.781  3521.781
( 159, Solar_thermal )    36.010    36.010    36.010    36.010    36.010    36.010    36.010    36.010    36.010    36.010    36.010
( 160, Gas_CHP       )  1166.428  1166.428  1489.886  1166.428  1166.428  1166.428  1166.428  1166.428  1166.428  1166.428  1166.428
( 160, Heat_pump     )   225.321   225.321   172.861   225.321   225.321   225.321   225.321   225.321   225.321   225.321   225.321
( 160, Solar_PV      )  1827.388  1827.388  1827.388  1827.388  1827.388  1827.388  1827.388  1827.388  1827.388  1827.388  1827.388
( 160, Solar_thermal )    18.685    18.685    18.685    18.685    18.685    18.685    18.685    18.685    18.685    18.685    18.685
( 161, Gas_CHP       )  2706.830  2706.830  2706.830  2706.830  2706.830  2706.830  2791.489  2706.830  2706.830  2706.830  2706.830
( 161, Heat_pump     )   391.924   391.924   391.924   391.924   391.924   391.924   417.322   391.924   391.924   391.924   391.924
( 161, Solar_PV      )   212.395   212.395   212.395   212.395   212.395   212.395   212.395   212.395   212.395   212.395   212.395
( 161, Solar_thermal )     2.172     2.172     2.172     2.172     2.172     2.172     2.172     2.172     2.172     2.172     2.172
( 162, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 162, Gas_boiler    )             510.638                                                                                   510.638
( 162, Heat_pump     )   452.906   302.906   452.906   452.906   452.906   452.906   452.906   452.906   452.906   452.906   302.906
( 163, Gas_CHP       )  2738.927  2738.927  2738.927  2738.927  2738.927  2738.927  2900.182  2738.927  2738.927  3198.459  2738.927
( 163, Heat_pump     )                                                                48.377                                        
( 164, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 164, Heat_pump     )   348.219   348.219   348.219   348.219   348.219   348.219   348.219   348.219   348.219   348.219   348.219
( 165, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
( 165, Heat_pump     )    90.039    90.039    90.039    90.039    90.039    90.039              90.039    90.039    90.039    90.039
( 166, Gas_CHP       )  3497.110  3497.110  3633.333  3497.110  3497.110  3497.110  3497.110  3497.110  3497.110  3497.110  3497.110
( 167, Gas_CHP       )  2283.237  2283.237  2283.237  2283.237  2283.237  2283.237  2283.237  2283.237  2283.237  2283.237  2783.237
( 168, Gas_CHP       )                                                                         427.219   500.000                    

                     +        12        13        14        15        16        17        18        19        20
                     !  --------  --------  --------  --------  --------  --------  --------  --------  --------
(   2, Gas_CHP       )   463.947   463.947   463.947   463.947   463.947   463.947   463.947   463.947   463.947
(   3, Gas_CHP       )   603.842   603.842   603.842   603.842   603.842   603.842   603.842   603.842   603.842
(   4, Gas_CHP       )  1014.281  1014.281  1014.281  1014.281  1338.464  1014.281  1014.281  1014.281  1014.281
(   4, Heat_pump     )   129.246   129.246   129.246   129.246    76.668   129.246   129.246   129.246   129.246
(   5, Gas_CHP       )  1050.555  1050.555  1050.555  1050.555  1050.555  1050.555  1050.555  1050.555  1050.555
(   5, Heat_pump     )   142.113   142.113   142.113   142.113   142.113   142.113   142.113   142.113   142.113
(   6, Gas_CHP       )   755.607   755.607   755.607   755.607   755.607   755.607   755.607   755.607   755.607
(   6, Heat_pump     )    50.888    50.888    50.888    50.888    50.888    50.888    50.888    50.888    50.888
(   7, Gas_CHP       )  2556.075  2556.075  2556.075  2556.075  2556.075  2556.075  2556.075  2556.075  2556.075
(   7, Heat_pump     )   366.687   366.687   366.687   366.687   366.687   366.687   366.687   366.687   366.687
(   8, Gas_CHP       )  3238.120  3237.033  3238.120  3238.120  3238.120  3237.033  3238.120  3237.033  3238.120
(   8, Heat_pump     )   270.632   270.306   270.632   270.632   270.632   270.306   270.632   270.306   270.632
(   9, Gas_CHP       )  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333  3633.333
(   9, Heat_pump     )   527.456   527.456   527.456   527.456   527.456   527.456   527.456   527.456   527.456
(   9, Solar_PV      )    26.396    26.396    26.396    26.396    26.396    26.396    26.396    26.396    26.396
(   9, Solar_thermal )     0.270     0.270     0.270     0.270     0.270     0.270     0.270     0.270     0.270
(  10, Gas_CHP       )  3177.083  3019.469  3177.083  3177.083  3177.083  3019.469  3177.083  3017.866  3177.083
(  10, Heat_pump     )   667.483   620.199   667.483   667.483   667.483   620.199   667.483   619.718   667.483
(  10, Solar_PV      )   133.816   133.816   133.816   133.816   133.816   133.816   133.816   133.816   133.816
(  10, Solar_thermal )     1.368     1.368     1.368     1.368     1.368     1.368     1.368     1.368     1.368
(  11, Gas_CHP       )  3005.797  3005.797  3005.797  3005.797  3005.797  3005.797  3005.797  3005.797  3005.797
(  11, Heat_pump     )   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500   687.500
(  11, Solar_PV      )   246.235   246.235   246.235   246.235   246.235   246.235   246.235   246.235   246.235
(  11, Solar_thermal )     2.518     2.518     2.518     2.518     2.518     2.518     2.518     2.518     2.518
(  12, Gas_CHP       )  1852.122  1852.122  1852.122  1852.122  1852.122  2176.666  1852.122  1852.122  1852.122
(  12, Heat_pump     )   308.553   308.553   308.553   308.553   308.553   255.916   308.553   308.553   308.553
(  12, Solar_PV      )   293.262   293.262   293.262   293.262   293.262   293.262   293.262   293.262   293.262
(  12, Solar_thermal )     2.999     2.999     2.999     2.999     2.999     2.999     2.999     2.999     2.999
(  13, Gas_CHP       )  2369.743  2347.246  2369.743  2369.743  2369.743  2369.743  2369.743  2369.743  2369.743
(  13, Heat_pump     )   112.039   115.688   112.039   112.039   112.039   112.039   112.039   112.039   112.039
(  13, Solar_PV      )   335.478   335.478   335.478   335.478   335.478   335.478   335.478   335.478   335.478
(  13, Solar_thermal )     3.430     3.430     3.430     3.430     3.430     3.430     3.430     3.430     3.430
(  14, Gas_CHP       )  2897.525  2897.525  2897.525  2897.525  2897.525  2897.525  2897.525  2897.525  2897.525
(  14, Heat_pump     )   453.065   453.065   453.065   453.065   453.065   453.065   453.065   453.065   453.065
(  14, Solar_PV      )   292.501   292.501   292.501   292.501   292.501   292.501   292.501   292.501   292.501
(  14, Solar_thermal )     2.991     2.991     2.991     2.991     2.991     2.991     2.991     2.991     2.991
(  15, Gas_CHP       )  1758.899  1758.899  1758.899  1758.899  1758.899  1758.899  1758.899  1758.899  1758.899
(  15, Heat_pump     )   169.063   169.063   169.063   169.063   169.063   169.063   169.063   169.063   169.063
(  15, Solar_PV      )   239.965   239.965   239.965   239.965   239.965   239.965   239.965   239.965   239.965
(  15, Solar_thermal )     2.454     2.454     2.454     2.454     2.454     2.454     2.454     2.454     2.454
(  16, Gas_CHP       )  2297.151  2297.151  2297.151  2297.151  2297.151  2297.151  2297.151  2297.151  2519.157
(  16, Heat_pump     )   278.792   278.792   278.792   278.792   278.792   278.792   278.792   278.792   242.785
