;;;#of times;de;;;
;673;1.2;4;169;2.6;;0.0026
;677;3.3;4;170;2.6;;0.0026
;681;10.2;4;171;2.6;;0.0026
;685;3;4;172;2.6;;0.0026
;689;18;4;173;3.8;;0.0038
;693;3.26;4;174;3.8;;0.0038
;697;0.9;4;175;3.8;;0.0038
;701;1.8;4;176;3.8;;0.0038
;705;18;4;177;7.79;;0.00779
;709;2.62;4;178;7.79;;0.00779
;713;6.9;4;179;7.79;;0.00779
;717;2.2;4;180;7.79;;0.00779
;721;0.8;4;181;6.6;;0.0066
;725;4;4;182;6.6;;0.0066
;729;4.9;4;183;6.6;;0.0066
;733;1.5;4;184;6.6;;0.0066
;737;4.9;4;185;9.5;;0.0095
;741;1.7;4;186;9.5;;0.0095
;745;0.7;4;187;9.5;;0.0095
;749;4;4;188;9.5;;0.0095
;753;4;4;189;5.5;;0.0055
;757;1.4;4;190;5.5;;0.0055
;761;4;4;191;5.5;;0.0055
;765;1.4;4;192;5.5;;0.0055
;769;0.55;4;193;2.6;;0.0026
;773;2.5;4;194;2.6;;0.0026
;777;2.8;4;195;2.6;;0.0026
;781;1.2;4;196;2.6;;0.0026
;785;2.6;4;197;4;;0.004
;789;1.2;4;198;4;;0.004
;793;0.5;4;199;4;;0.004
;797;1.4;4;200;4;;0.004
;801;1.3;4;201;7.5;;0.0075
;805;0.5;4;202;7.5;;0.0075
;809;1.5;4;203;7.5;;0.0075
;813;0.7;4;204;7.5;;0.0075
;817;0.6;4;205;6.5;;0.0065
;821;1.2;4;206;6.5;;0.0065
;825;0.6;4;207;6.5;;0.0065
;829;0.6;4;208;6.5;;0.0065
;833;1;4;209;7.6;;0.0076
;837;0.6;4;210;7.6;;0.0076
;841;1.9;4;211;7.6;;0.0076
;845;2.05;4;212;7.6;;0.0076
;849;24;4;213;5.2;;0.0052
;853;17;4;214;5.2;;0.0052
;857;34;4;215;5.2;;0.0052
;861;17;4;216;5.2;;0.0052
;865;1;4;217;2.4;;0.0024
;869;1.6;4;218;2.4;;0.0024
;873;17;4;219;2.4;;0.0024
;877;13.6;4;220;2.4;;0.0024
;881;26;4;221;3.5;;0.0035
;885;12.8;4;222;3.5;;0.0035
;889;1.3;4;223;3.5;;0.0035
;893;1.5;4;224;3.5;;0.0035
;897;13;4;225;8;;0.008
;901;9;4;226;8;;0.008
;905;16.64;4;227;8;;0.008
;909;10;4;228;8;;0.008
;913;0.9;4;229;5.9;;0.0059
;917;1.5;4;230;5.9;;0.0059
;921;11;4;231;5.9;;0.0059
;925;7.9;4;232;5.9;;0.0059
;929;13;4;233;7.5;;0.0075
;933;7.48;4;234;7.5;;0.0075
;937;0.8;4;235;7.5;;0.0075
;941;1.2;4;236;7.5;;0.0075
;945;7.68;4;237;4.9;;0.0049
;949;6;4;238;4.9;;0.0049
;953;8.8;4;239;4.9;;0.0049
;957;5.8;4;240;4.9;;0.0049
;961;0.6;4;241;2.1;;0.0021
;965;0.8;4;242;2.1;;0.0021
;969;3;4;243;2.1;;0.0021
;973;2.3;4;244;2.1;;0.0021
;977;4;4;245;3.3;;0.0033
;981;1.5;4;246;3.3;;0.0033
;985;1;4;247;3.3;;0.0033
;989;1.1;4;248;3.3;;0.0033
;993;0.98;4;249;7.5;;0.0075
;997;2;4;250;7.5;;0.0075
;1001;1.4;4;251;7.5;;0.0075
;1005;1.4;4;252;7.5;;0.0075
;1009;8;4;253;5.6;;0.0056
;1013;4.8;4;254;5.6;;0.0056
;1017;20.3;4;255;5.6;;0.0056
;1021;12;4;256;5.6;;0.0056
;1025;18;4;257;7.3;;0.0073
;1029;15.8;4;258;7.3;;0.0073
;1033;2.3;4;259;7.3;;0.0073
;1037;3.8;4;260;7.3;;0.0073
;1041;15;4;261;4.6;;0.0046
;1045;6.6;4;262;4.6;;0.0046
;1049;9.8;4;263;4.6;;0.0046
;1053;6.21;4;264;4.6;;0.0046
;1057;1.9;4;265;2;;0.002
;1061;3;4;266;2;;0.002
;1065;12.7;4;267;2;;0.002
;1069;5;4;268;2;;0.002
;1073;21;4;269;3.3;;0.0033
;1077;5.3;4;270;3.3;;0.0033
;1081;1.6;4;271;3.3;;0.0033
;1085;13;4;272;3.3;;0.0033
;1089;45;4;273;7;;0.007
;1093;23.44;4;274;7;;0.007
;1097;94;4;275;7;;0.007
;1101;16;4;276;7;;0.007
;1105;1.5;4;277;6;;0.006
;1109;7;4;278;6;;0.006
;1113;32.5;4;279;6;;0.006
;1117;15;4;280;6;;0.006
;1121;35;4;281;7.2;;0.0072
;1125;8.2;4;282;7.2;;0.0072
;1129;1.5;4;283;7.2;;0.0072
;1133;4;4;284;7.2;;0.0072
;1137;2.5;4;285;4.5;;0.0045
;1141;2;4;286;4.5;;0.0045
;1145;2.5;4;287;4.5;;0.0045
;1149;1.5;4;288;4.5;;0.0045
;1153;2;4;289;1.5;;0.0015
;1157;3;4;290;1.5;;0.0015
;1161;4;4;291;1.5;;0.0015
;1165;5.67;4;292;1.5;;0.0015
;1169;3;4;293;1.9;;0.0019
