;;;#of times;de;;;
;7233;13.5;4;1809;4;;0.004
;7237;7.2;4;1810;4;;0.004
;7241;15;4;1811;4;;0.004
;7245;8;4;1812;4;;0.004
;7249;0.91;4;1813;4;;0.004
;7253;4.74;4;1814;4;;0.004
;7257;12;4;1815;4;;0.004
;7261;6;4;1816;4;;0.004
;7265;9.9;4;1817;4;;0.004
;7269;7;4;1818;4;;0.004
;7273;1;4;1819;4;;0.004
;7277;5.25;4;1820;4;;0.004
;7281;44;4;1821;2;;0.002
;7285;10.11;4;1822;2;;0.002
;7289;24;4;1823;2;;0.002
;7293;10.82;4;1824;2;;0.002
;7297;6;4;1825;1;;0.001
;7301;30;4;1826;1;;0.001
;7305;80;4;1827;1;;0.001
;7309;25;4;1828;1;;0.001
;7313;52.9;4;1829;2;;0.002
;7317;24;4;1830;2;;0.002
;7321;2.2;4;1831;2;;0.002
;7325;14;4;1832;2;;0.002
;7329;47.64;4;1833;3;;0.003
;7333;14;4;1834;3;;0.003
;7337;34.6;4;1835;3;;0.003
;7341;13.99;4;1836;3;;0.003
;7345;1.2;4;1837;2.2;;0.0022
;7349;3.2;4;1838;2.2;;0.0022
;7353;4.8;4;1839;2.2;;0.0022
;7357;2.9;4;1840;2.2;;0.0022
;7361;4.8;4;1841;2.5;;0.0025
;7365;4.06;4;1842;2.5;;0.0025
;7369;0.95;4;1843;2.5;;0.0025
;7373;2.2;4;1844;2.5;;0.0025
;7377;3.89;4;1845;1.4;;0.0014
;7381;2.4;4;1846;1.4;;0.0014
;7385;3;4;1847;1.4;;0.0014
;7389;2.47;4;1848;1.4;;0.0014
;7393;6.5;4;1849;0.6;;0.0006
;7397;60;4;1850;0.6;;0.0006
;7401;235;4;1851;0.6;;0.0006
;7405;200;4;1852;0.6;;0.0006
;7409;299;4;1853;1.9;;0.0019
;7413;106;4;1854;1.9;;0.0019
;7417;7.5;4;1855;1.9;;0.0019
;7421;64;4;1856;1.9;;0.0019
;7425;220;4;1857;11.5;;0.0115
;7429;180;4;1858;11.5;;0.0115
;7433;290;4;1859;11.5;;0.0115
;7437;99;4;1860;11.5;;0.0115
;7441;6.9;4;1861;3.5;;0.0035
;7445;52;4;1862;3.5;;0.0035
;7449;183;4;1863;3.5;;0.0035
;7453;148.3;4;1864;3.5;;0.0035
;7457;213;4;1865;13;;0.013
;7461;77;4;1866;13;;0.013
;7465;4.7;4;1867;13;;0.013
;7469;43;4;1868;13;;0.013
;7473;149;4;1869;2.9;;0.0029
;7477;117.7;4;1870;2.9;;0.0029
;7481;149;4;1871;2.9;;0.0029
;7485;58;4;1872;2.9;;0.0029
;7489;4;4;1873;0.5;;0.0005
;7493;25;4;1874;0.5;;0.0005
;7497;70;4;1875;0.5;;0.0005
;7501;55;4;1876;0.5;;0.0005
;7505;69;4;1877;1.5;;0.0015
;7509;32.15;4;1878;1.5;;0.0015
;7513;3.5;4;1879;1.5;;0.0015
;7517;3.5;4;1880;1.5;;0.0015
;7521;3.03;4;1881;10.5;;0.0105
;7525;4;4;1882;10.5;;0.0105
;7529;3.69;4;1883;10.5;;0.0105
;7533;3.04;4;1884;10.5;;0.0105
;7537;2.5;4;1885;3;;0.003
;7541;3.25;4;1886;3;;0.003
;7545;2.2;4;1887;3;;0.003
;7549;2.2;4;1888;3;;0.003
;7553;3;4;1889;14;;0.014
;7557;2.2;4;1890;14;;0.014
;7561;3.3;4;1891;14;;0.014
;7565;19.8;4;1892;14;;0.014
;7569;45;4;1893;2.7;;0.0027
;7573;40;4;1894;2.7;;0.0027
;7577;50;4;1895;2.7;;0.0027
;7581;25;4;1896;2.7;;0.0027
;7585;2.8;4;1897;0.57;;0.00057
;7589;11;4;1898;0.57;;0.00057
;7593;33;4;1899;0.57;;0.00057
;7597;39;4;1900;0.57;;0.00057
;7601;35;4;1901;1;;0.001
;7605;21;4;1902;1;;0.001
;7609;4;4;1903;1;;0.001
;7613;9.2;4;1904;1;;0.001
;7617;25;4;1905;8;;0.008
;7621;16;4;1906;8;;0.008
;7625;25;4;1907;8;;0.008
;7629;16.6;4;1908;8;;0.008
;7633;4.3;4;1909;2.76;;0.00276
;7637;50;4;1910;2.76;;0.00276
;7641;24.72;4;1911;2.76;;0.00276
;7645;26.45;4;1912;2.76;;0.00276
;7649;30;4;1913;9.7;;0.0097
;7653;24.04;4;1914;9.7;;0.0097
;7657;4;4;1915;9.7;;0.0097
;7661;22;4;1916;9.7;;0.0097
;7665;20.9;4;1917;2.44;;0.00244
;7669;15.9;4;1918;2.44;;0.00244
;7673;25.8;4;1919;2.44;;0.00244
;7677;16.5;4;1920;2.44;;0.00244
;7681;2;4;1921;0.5;;0.0005
;7685;3.2;4;1922;0.5;;0.0005
;7689;3;4;1923;0.5;;0.0005
;7693;2.8;4;1924;0.5;;0.0005
;7697;3.5;4;1925;0.9;;0.0009
;7701;2.9;4;1926;0.9;;0.0009
;7705;3.75;4;1927;0.9;;0.0009
;7709;8;4;1928;0.9;;0.0009
;7713;2.7;4;1929;5.5;;0.0055
;7717;3.06;4;1930;5.5;;0.0055
;7721;2.9;4;1931;5.5;;0.0055
;7725;7.9;4;1932;5.5;;0.0055
;7729;1.9;4;1933;2;;0.002
;7733;11.52;4;1934;2;;0.002
;7737;18.8;4;1935;2;;0.002
;7741;13.05;4;1936;2;;0.002
;7745;16.7;4;1937;7;;0.007
;7749;17.55;4;1938;7;;0.007
;7753;1.32;4;1939;7;;0.007
;7757;10;4;1940;7;;0.007
;7761;17.44;4;1941;2;;0.002
;7765;20.55;4;1942;2;;0.002
;7769;16.7;4;1943;2;;0.002
;7773;17.55;4;1944;2;;0.002
;7777;1;4;1945;0.6;;0.0006
;7781;7.5;4;1946;0.6;;0.0006
;7785;13.99;4;1947;0.6;;0.0006
;7789;9.99;4;1948;0.6;;0.0006
;7793;12;4;1949;0.8;;0.0008
;7797;9.9;4;1950;0.8;;0.0008
;7801;0.9;4;1951;0.8;;0.0008
;7805;5.2;4;1952;0.8;;0.0008
;7809;9.8;4;1953;1.2;;0.0012
;7813;7.69;4;1954;1.2;;0.0012
;7817;7.79;4;1955;1.2;;0.0012
;7821;6.9;4;1956;1.2;;0.0012
;7825;0.78;4;1957;1;;0.001
;7829;4.41;4;1958;1;;0.001
;7833;8.86;4;1959;1;;0.001
;7837;4.09;4;1960;1;;0.001
;7841;6.94;4;1961;1;;0.001
;7845;5.4;4;1962;1;;0.001
;7849;0.35;4;1963;1;;0.001
;7853;1.2;4;1964;1;;0.001
;7857;2.8;4;1965;0.6;;0.0006
;7861;1.8;4;1966;0.6;;0.0006
;7865;2.96;4;1967;0.6;;0.0006
;7869;2.28;4;1968;0.6;;0.0006
;7873;0.32;4;1969;0.63;;0.00063
;7877;1.1;4;1970;0.63;;0.00063
;7881;1.8;4;1971;0.63;;0.00063
;7885;1.49;4;1972;0.63;;0.00063
;7889;2.8;4;1973;1;;0.001
;7893;1.79;4;1974;1;;0.001
;7897;3;4;1975;1;;0.001
;7901;15;4;1976;1;;0.001
;7905;35;4;1977;1.4;;0.0014
;7909;30;4;1978;1.4;;0.0014
;7913;48;4;1979;1.4;;0.0014
;7917;34;4;1980;1.4;;0.0014
;7921;2.95;4;1981;1.4;;0.0014
;7925;14.4;4;1982;1.4;;0.0014
;7929;34.8;4;1983;1.4;;0.0014
;7933;26.25;4;1984;1.4;;0.0014
;7937;45;4;1985;1.3;;0.0013
;7941;35;4;1986;1.3;;0.0013
;7945;2.5;4;1987;1.3;;0.0013
;7949;12.8;4;1988;1.3;;0.0013
;7953;32.85;4;1989;1;;0.001
;7957;35.2;4;1990;1;;0.001
;7961;75;4;1991;1;;0.001
;7965;32;4;1992;1;;0.001
;7969;2.3;4;1993;0.6;;0.0006
;7973;12.4;4;1994;0.6;;0.0006
;7977;49.2;4;1995;0.6;;0.0006
;7981;32;4;1996;0.6;;0.0006
;7985;74;4;1997;1.5;;0.0015
;7989;28;4;1998;1.5;;0.0015
;7993;2.1;4;1999;1.5;;0.0015
;7997;13.2;4;2000;1.5;;0.0015
;8001;66;4;2001;1.8;;0.0018
;8005;32.8;4;2002;1.8;;0.0018
;8009;78.2;4;2003;1.8;;0.0018
;8013;26.75;4;2004;1.8;;0.0018
;8017;1.2;4;2005;1;;0.001
;8021;4.6;4;2006;1;;0.001
;8025;16;4;2007;1;;0.001
;8029;9.2;4;2008;1;;0.001
;8033;21;4;2009;0.88;;0.00088
;8037;11;4;2010;0.88;;0.00088
;8041;0.99;4;2011;0.88;;0.00088
;8045;2.2;4;2012;0.88;;0.00088
;8049;6.47;4;2013;1;;0.001
;8053;7;4;2014;1;;0.001
;8057;9.99;4;2015;1;;0.001
;8061;5.47;4;2016;1;;0.001
;8065;2;4;2017;1.01;;0.00101
;8069;12.6;4;2018;1.01;;0.00101
;8073;48;4;2019;1.01;;0.00101
;8077;25;4;2020;1.01;;0.00101
;8081;64;4;2021;1.4;;0.0014
;8085;25;4;2022;1.4;;0.0014
;8089;1.7;4;2023;1.4;;0.0014
;8093;10;4;2024;1.4;;0.0014
;8097;35.16;4;2025;2;;0.002
;8101;22.62;4;2026;2;;0.002
;8105;51;4;2027;2;;0.002
;8109;22.5;4;2028;2;;0.002
;8113;1.69;4;2029;2;;0.002
;8117;9.27;4;2030;2;;0.002
;8121;32.99;4;2031;2;;0.002
;8125;19.1;4;2032;2;;0.002
;8129;47.52;4;2033;2.3;;0.0023
;8133;20;4;2034;2.3;;0.0023
;8137;1.49;4;2035;2.3;;0.0023
;8141;8;4;2036;2.3;;0.0023
;8145;28;4;2037;2.38;;0.00238
;8149;17;4;2038;2.38;;0.00238
;8153;42;4;2039;2.38;;0.00238
;8157;18.99;4;2040;2.38;;0.00238
;8161;1.29;4;2041;1;;0.001
;8165;6.91;4;2042;1;;0.001
;8169;25;4;2043;1;;0.001
;8173;15.99;4;2044;1;;0.001
;8177;36.92;4;2045;3.3;;0.0033
;8181;15.5;4;2046;3.3;;0.0033
;8185;1.09;4;2047;3.3;;0.0033
;8189;3.5;4;2048;3.3;;0.0033
;8193;11;4;2049;14;;0.014
;8197;8;4;2050;14;;0.014
;8201;12.5;4;2051;14;;0.014
;8205;8.6;4;2052;14;;0.014
;8209;0.95;4;2053;6.45;;0.00645
;8213;1.99;4;2054;6.45;;0.00645
;8217;5.8;4;2055;6.45;;0.00645
;8221;5.4;4;2056;6.45;;0.00645
;8225;9.99;4;2057;17;;0.017
;8229;5.12;4;2058;17;;0.017
;8233;1.2;4;2059;17;;0.017
;8237;6;4;2060;17;;0.017
;8241;20;4;2061;5;;0.005
;8245;10.35;4;2062;5;;0.005
;8249;29.5;4;2063;5;;0.005
;8253;14;4;2064;5;;0.005
;8257;1;4;2065;1.01;;0.00101
;8261;5;4;2066;1.01;;0.00101
;8265;16;4;2067;1.01;;0.00101
;8269;9;4;2068;1.01;;0.00101
;8273;22;4;2069;2.7;;0.0027
;8277;10;4;2070;2.7;;0.0027
;8281;0.65;4;2071;2.7;;0.0027
;8285;4;4;2072;2.7;;0.0027
;8289;13.2;4;2073;18;;0.018
;8293;7;4;2074;18;;0.018
;8297;17;4;2075;18;;0.018
;8301;7.4;4;2076;18;;0.018
;8305;0.59;4;2077;4.2;;0.0042
;8309;3.1;4;2078;4.2;;0.0042
;8313;11;4;2079;4.2;;0.0042
;8317;5.8;4;2080;4.2;;0.0042
;8321;14.5;4;2081;16;;0.016
;8325;6;4;2082;16;;0.016
;8329;0.43;4;2083;16;;0.016
;8333;2.5;4;2084;16;;0.016
;8337;9;4;2085;3.9;;0.0039
;8341;4;4;2086;3.9;;0.0039
;8345;11.2;4;2087;3.9;;0.0039
;8349;5;4;2088;3.9;;0.0039
;8353;0.3;4;2089;0.7;;0.0007
;8357;1;4;2090;0.7;;0.0007
;8361;2.4;4;2091;0.7;;0.0007
;8365;1.5;4;2092;0.7;;0.0007
;8369;2.5;4;2093;2.85;;0.00285
;8373;2;4;2094;2.85;;0.00285
;8377;0.2;4;2095;2.85;;0.00285
;8381;0.6;4;2096;2.85;;0.00285
;8385;1.57;4;2097;17;;0.017
;8389;1.19;4;2098;17;;0.017
;8393;2;4;2099;17;;0.017
;8397;1.19;4;2100;17;;0.017
;8401;0.8;4;2101;4;;0.004
;8405;3.96;4;2102;4;;0.004
;8409;15.43;4;2103;4;;0.004
;8413;8.9;4;2104;4;;0.004
;8417;18.22;4;2105;19;;0.019
;8421;8.48;4;2106;19;;0.019
;8425;0.5;4;2107;19;;0.019
;8429;4;4;2108;19;;0.019
;8433;11.9;4;2109;3.7;;0.0037
;8437;4.5;4;2110;3.7;;0.0037
;8441;13;4;2111;3.7;;0.0037
;8445;4.5;4;2112;3.7;;0.0037
;8449;0.34;4;2113;0.7;;0.0007
;8453;2.5;4;2114;0.7;;0.0007
;8457;9;4;2115;0.7;;0.0007
;8461;3.1;4;2116;0.7;;0.0007
;8465;10.8;4;2117;2.5;;0.0025
;8469;3;4;2118;2.5;;0.0025
;8473;0.25;4;2119;2.5;;0.0025
;8477;2;4;2120;2.5;;0.0025
;8481;7.8;4;2121;15;;0.015
;8485;2.56;4;2122;15;;0.015
;8489;8.8;4;2123;15;;0.015
;8493;3;4;2124;15;;0.015
;8497;0.25;4;2125;3.8;;0.0038
;8501;1.5;4;2126;3.8;;0.0038
;8505;6.5;4;2127;3.8;;0.0038
;8509;1.91;4;2128;3.8;;0.0038
;8513;7.7;4;2129;13.7;;0.0137
;8517;2.16;4;2130;13.7;;0.0137
;8521;0.19;4;2131;13.7;;0.0137
;8525;2;4;2132;13.7;;0.0137
;8529;1.5;4;2133;3.2;;0.0032
;8533;1.39;4;2134;3.2;;0.0032
;8537;1.6;4;2135;3.2;;0.0032
;8541;0.95;4;2136;3.2;;0.0032
;8545;0.19;4;2137;0.6;;0.0006
;8549;1;4;2138;0.6;;0.0006
;8553;0.9;4;2139;0.6;;0.0006
;8557;1.16;4;2140;0.6;;0.0006
;8561;1.56;4;2141;0.8;;0.0008
;8565;3;4;2142;0.8;;0.0008
;8569;1.5;4;2143;0.8;;0.0008
;8573;2.5;4;2144;0.8;;0.0008
;8577;1.5;4;2145;1.9;;0.0019
;8581;1.1;4;2146;1.9;;0.0019
;8585;1.7;4;2147;1.9;;0.0019
;8589;2.2;4;2148;1.9;;0.0019
;8593;0.62;4;2149;1.6;;0.0016
;8597;1.5;4;2150;1.6;;0.0016
;8601;1.4;4;2151;1.6;;0.0016
;8605;1;4;2152;1.6;;0.0016
;8609;1.5;4;2153;1.3;;0.0013
;8613;2.4;4;2154;1.3;;0.0013
;8617;0.5;4;2155;1.3;;0.0013
;8621;1.4;4;2156;1.3;;0.0013
;8625;1.4;4;2157;1;;0.001
;8629;1.2;4;2158;1;;0.001
;8633;4.2;4;2159;1;;0.001
;8637;2.28;4;2160;1;;0.001
;8641;0.5;4;2161;0.64;;0.00064
;8645;1;4;2162;0.64;;0.00064
;8649;2.9;4;2163;0.64;;0.00064
;8653;2.85;4;2164;0.64;;0.00064
;8657;3.6;4;2165;0.7;;0.0007
;8661;2.5;4;2166;0.7;;0.0007
;8665;0.45;4;2167;0.7;;0.0007
;8669;0.95;4;2168;0.7;;0.0007
;8673;2;4;2169;1.5;;0.0015
;8677;1.8;4;2170;1.5;;0.0015
;8681;2.5;4;2171;1.5;;0.0015
;8685;1.89;4;2172;1.5;;0.0015
;8689;2.5;4;2173;1.2;;0.0012
;8693;0.8;4;2174;1.2;;0.0012
;8697;1.2;4;2175;1.2;;0.0012
;8701;1;4;2176;1.2;;0.0012
;8705;2.07;4;2177;1.1;;0.0011
;8709;1.55;4;2178;1.1;;0.0011
;8713;0.4;4;2179;1.1;;0.0011
;8717;1;4;2180;1.1;;0.0011
;8721;0.96;4;2181;0.8;;0.0008
;8725;0.92;4;2182;0.8;;0.0008
;8729;1.8;4;2183;0.8;;0.0008
;8733;1.45;4;2184;0.8;;0.0008
;;;;2185;1;;0.001
;;;;2186;1;;0.001
;;;;2187;1;;0.001
;;;;2188;1;;0.001
;;;;2189;1.4;;0.0014
;;;;2190;1.4;;0.0014
;;;;2191;1.4;;0.0014
;;;;2192;1.4;;0.0014
;;;;2193;13;;0.013
;;;;2194;13;;0.013
;;;;2195;13;;0.013
;;;;2196;13;;0.013
;;;;2197;5;;0.005
;;;;2198;5;;0.005
;;;;2199;5;;0.005
;;;;2200;5;;0.005
;;;;2201;12;;0.012
;;;;2202;12;;0.012
;;;;2203;12;;0.012
;;;;2204;12;;0.012
;;;;2205;4;;0.004
;;;;2206;4;;0.004
;;;;2207;4;;0.004
;;;;2208;4;;0.004
;;;;2209;0.8;;0.0008
;;;;2210;0.8;;0.0008
;;;;2211;0.8;;0.0008
;;;;2212;0.8;;0.0008
;;;;2213;1.5;;0.0015
;;;;2214;1.5;;0.0015
;;;;2215;1.5;;0.0015
;;;;2216;1.5;;0.0015
;;;;2217;10;;0.01
;;;;2218;10;;0.01
;;;;2219;10;;0.01
;;;;2220;10;;0.01
;;;;2221;3.5;;0.0035
;;;;2222;3.5;;0.0035
;;;;2223;3.5;;0.0035
;;;;2224;3.5;;0.0035
;;;;2225;9.6;;0.0096
;;;;2226;9.6;;0.0096
;;;;2227;9.6;;0.0096
;;;;2228;9.6;;0.0096
;;;;2229;3.1;;0.0031
;;;;2230;3.1;;0.0031
;;;;2231;3.1;;0.0031
;;;;2232;3.1;;0.0031
;;;;2233;0.75;;0.00075
;;;;2234;0.75;;0.00075
;;;;2235;0.75;;0.00075
;;;;2236;0.75;;0.00075
;;;;2237;1;;0.001
;;;;2238;1;;0.001
;;;;2239;1;;0.001
;;;;2240;1;;0.001
;;;;2241;6.2;;0.0062
;;;;2242;6.2;;0.0062
;;;;2243;6.2;;0.0062
;;;;2244;6.2;;0.0062
;;;;2245;2.4;;0.0024
;;;;2246;2.4;;0.0024
;;;;2247;2.4;;0.0024
;;;;2248;2.4;;0.0024
;;;;2249;7;;0.007
;;;;2250;7;;0.007
;;;;2251;7;;0.007
;;;;2252;7;;0.007
;;;;2253;2.5;;0.0025
;;;;2254;2.5;;0.0025
;;;;2255;2.5;;0.0025
;;;;2256;2.5;;0.0025
;;;;2257;0.6;;0.0006
;;;;2258;0.6;;0.0006
;;;;2259;0.6;;0.0006
;;;;2260;0.6;;0.0006
;;;;2261;0.9;;0.0009
;;;;2262;0.9;;0.0009
;;;;2263;0.9;;0.0009
;;;;2264;0.9;;0.0009
;;;;2265;5.8;;0.0058
;;;;2266;5.8;;0.0058
;;;;2267;5.8;;0.0058
;;;;2268;5.8;;0.0058
;;;;2269;2.2;;0.0022
;;;;2270;2.2;;0.0022
;;;;2271;2.2;;0.0022
;;;;2272;2.2;;0.0022
;;;;2273;6.08;;0.00608
;;;;2274;6.08;;0.00608
;;;;2275;6.08;;0.00608
;;;;2276;6.08;;0.00608
;;;;2277;2.2;;0.0022
;;;;2278;2.2;;0.0022
;;;;2279;2.2;;0.0022
;;;;2280;2.2;;0.0022
;;;;2281;0.58;;0.00058
;;;;2282;0.58;;0.00058
;;;;2283;0.58;;0.00058
;;;;2284;0.58;;0.00058
;;;;2285;0.9;;0.0009
;;;;2286;0.9;;0.0009
;;;;2287;0.9;;0.0009
;;;;2288;0.9;;0.0009
;;;;2289;6;;0.006
;;;;2290;6;;0.006
;;;;2291;6;;0.006
;;;;2292;6;;0.006
;;;;2293;2.5;;0.0025
;;;;2294;2.5;;0.0025
;;;;2295;2.5;;0.0025
;;;;2296;2.5;;0.0025
;;;;2297;6;;0.006
;;;;2298;6;;0.006
;;;;2299;6;;0.006
;;;;2300;6;;0.006
;;;;2301;2.52;;0.00252
;;;;2302;2.52;;0.00252
;;;;2303;2.52;;0.00252
;;;;2304;2.52;;0.00252
;;;;2305;0.5;;0.0005
;;;;2306;0.5;;0.0005
;;;;2307;0.5;;0.0005
;;;;2308;0.5;;0.0005
;;;;2309;0.6;;0.0006
;;;;2310;0.6;;0.0006
;;;;2311;0.6;;0.0006
;;;;2312;0.6;;0.0006
;;;;2313;1.2;;0.0012
;;;;2314;1.2;;0.0012
;;;;2315;1.2;;0.0012
;;;;2316;1.2;;0.0012
;;;;2317;1;;0.001
;;;;2318;1;;0.001
;;;;2319;1;;0.001
;;;;2320;1;;0.001
;;;;2321;1;;0.001
;;;;2322;1;;0.001
;;;;2323;1;;0.001
;;;;2324;1;;0.001
;;;;2325;0.6;;0.0006
;;;;2326;0.6;;0.0006
;;;;2327;0.6;;0.0006
;;;;2328;0.6;;0.0006
;;;;2329;0.4;;0.0004
;;;;2330;0.4;;0.0004
;;;;2331;0.4;;0.0004
;;;;2332;0.4;;0.0004
;;;;2333;0.85;;0.00085
;;;;2334;0.85;;0.00085
;;;;2335;0.85;;0.00085
;;;;2336;0.85;;0.00085
;;;;2337;1;;0.001
;;;;2338;1;;0.001
;;;;2339;1;;0.001
;;;;2340;1;;0.001
;;;;2341;1.4;;0.0014
;;;;2342;1.4;;0.0014
;;;;2343;1.4;;0.0014
;;;;2344;1.4;;0.0014
;;;;2345;0.8;;0.0008
;;;;2346;0.8;;0.0008
;;;;2347;0.8;;0.0008
;;;;2348;0.8;;0.0008
;;;;2349;1;;0.001
;;;;2350;1;;0.001
;;;;2351;1;;0.001
;;;;2352;1;;0.001
;;;;2353;1;;0.001
;;;;2354;1;;0.001
;;;;2355;1;;0.001
;;;;2356;1;;0.001
;;;;2357;2;;0.002
;;;;2358;2;;0.002
;;;;2359;2;;0.002
;;;;2360;2;;0.002
;;;;2361;10;;0.01
;;;;2362;10;;0.01
;;;;2363;10;;0.01
;;;;2364;10;;0.01
;;;;2365;5.5;;0.0055
;;;;2366;5.5;;0.0055
;;;;2367;5.5;;0.0055
;;;;2368;5.5;;0.0055
;;;;2369;10;;0.01
;;;;2370;10;;0.01
;;;;2371;10;;0.01
;;;;2372;10;;0.01
;;;;2373;5.9;;0.0059
;;;;2374;5.9;;0.0059
;;;;2375;5.9;;0.0059
;;;;2376;5.9;;0.0059
;;;;2377;1.3;;0.0013
;;;;2378;1.3;;0.0013
;;;;2379;1.3;;0.0013
;;;;2380;1.3;;0.0013
;;;;2381;1.6;;0.0016
;;;;2382;1.6;;0.0016
;;;;2383;1.6;;0.0016
;;;;2384;1.6;;0.0016
;;;;2385;14.2;;0.0142
;;;;2386;14.2;;0.0142
;;;;2387;14.2;;0.0142
;;;;2388;14.2;;0.0142
;;;;2389;5;;0.005
;;;;2390;5;;0.005
;;;;2391;5;;0.005
;;;;2392;5;;0.005
;;;;2393;11;;0.011
;;;;2394;11;;0.011
;;;;2395;11;;0.011
;;;;2396;11;;0.011
;;;;2397;8;;0.008
;;;;2398;8;;0.008
;;;;2399;8;;0.008
;;;;2400;8;;0.008
;;;;2401;1;;0.001
;;;;2402;1;;0.001
;;;;2403;1;;0.001
;;;;2404;1;;0.001
;;;;2405;2.14;;0.00214
;;;;2406;2.14;;0.00214
;;;;2407;2.14;;0.00214
;;;;2408;2.14;;0.00214
;;;;2409;11.8;;0.0118
;;;;2410;11.8;;0.0118
;;;;2411;11.8;;0.0118
;;;;2412;11.8;;0.0118
;;;;2413;5;;0.005
;;;;2414;5;;0.005
;;;;2415;5;;0.005
;;;;2416;5;;0.005
;;;;2417;9.7;;0.0097
;;;;2418;9.7;;0.0097
;;;;2419;9.7;;0.0097
;;;;2420;9.7;;0.0097
;;;;2421;7;;0.007
;;;;2422;7;;0.007
;;;;2423;7;;0.007
;;;;2424;7;;0.007
;;;;2425;0.85;;0.00085
;;;;2426;0.85;;0.00085
;;;;2427;0.85;;0.00085
;;;;2428;0.85;;0.00085
;;;;2429;2;;0.002
;;;;2430;2;;0.002
;;;;2431;2;;0.002
;;;;2432;2;;0.002
;;;;2433;10;;0.01
;;;;2434;10;;0.01
;;;;2435;10;;0.01
;;;;2436;10;;0.01
;;;;2437;4.7;;0.0047
;;;;2438;4.7;;0.0047
;;;;2439;4.7;;0.0047
;;;;2440;4.7;;0.0047
;;;;2441;9;;0.009
;;;;2442;9;;0.009
;;;;2443;9;;0.009
;;;;2444;9;;0.009
;;;;2445;6.1;;0.0061
;;;;2446;6.1;;0.0061
;;;;2447;6.1;;0.0061
;;;;2448;6.1;;0.0061
;;;;2449;0.8;;0.0008
;;;;2450;0.8;;0.0008
;;;;2451;0.8;;0.0008
;;;;2452;0.8;;0.0008
;;;;2453;2;;0.002
;;;;2454;2;;0.002
;;;;2455;2;;0.002
;;;;2456;2;;0.002
;;;;2457;10;;0.01
;;;;2458;10;;0.01
;;;;2459;10;;0.01
;;;;2460;10;;0.01
;;;;2461;4.2;;0.0042
;;;;2462;4.2;;0.0042
;;;;2463;4.2;;0.0042
;;;;2464;4.2;;0.0042
;;;;2465;8;;0.008
;;;;2466;8;;0.008
;;;;2467;8;;0.008
;;;;2468;8;;0.008
;;;;2469;5.5;;0.0055
;;;;2470;5.5;;0.0055
;;;;2471;5.5;;0.0055
;;;;2472;5.5;;0.0055
;;;;2473;0.62;;0.00062
;;;;2474;0.62;;0.00062
;;;;2475;0.62;;0.00062
;;;;2476;0.62;;0.00062
;;;;2477;1;;0.001
;;;;2478;1;;0.001
;;;;2479;1;;0.001
;;;;2480;1;;0.001
;;;;2481;1.5;;0.0015
;;;;2482;1.5;;0.0015
;;;;2483;1.5;;0.0015
;;;;2484;1.5;;0.0015
;;;;2485;1.3;;0.0013
;;;;2486;1.3;;0.0013
;;;;2487;1.3;;0.0013
;;;;2488;1.3;;0.0013
;;;;2489;1;;0.001
;;;;2490;1;;0.001
;;;;2491;1;;0.001
;;;;2492;1;;0.001
;;;;2493;1;;0.001
;;;;2494;1;;0.001
;;;;2495;1;;0.001
;;;;2496;1;;0.001
;;;;2497;0.45;;0.00045
;;;;2498;0.45;;0.00045
;;;;2499;0.45;;0.00045
;;;;2500;0.45;;0.00045
;;;;2501;0.9;;0.0009
;;;;2502;0.9;;0.0009
;;;;2503;0.9;;0.0009
;;;;2504;0.9;;0.0009
;;;;2505;0.9;;0.0009
;;;;2506;0.9;;0.0009
;;;;2507;0.9;;0.0009
;;;;2508;0.9;;0.0009
;;;;2509;0.98;;0.00098
;;;;2510;0.98;;0.00098
;;;;2511;0.98;;0.00098
;;;;2512;0.98;;0.00098
;;;;2513;1;;0.001
;;;;2514;1;;0.001
;;;;2515;1;;0.001
;;;;2516;1;;0.001
;;;;2517;0.9;;0.0009
;;;;2518;0.9;;0.0009
;;;;2519;0.9;;0.0009
;;;;2520;0.9;;0.0009
;;;;2521;1.3;;0.0013
;;;;2522;1.3;;0.0013
;;;;2523;1.3;;0.0013
;;;;2524;1.3;;0.0013
;;;;2525;2.9;;0.0029
;;;;2526;2.9;;0.0029
;;;;2527;2.9;;0.0029
;;;;2528;2.9;;0.0029
;;;;2529;9.8;;0.0098
;;;;2530;9.8;;0.0098
;;;;2531;9.8;;0.0098
;;;;2532;9.8;;0.0098
;;;;2533;4.4;;0.0044
;;;;2534;4.4;;0.0044
;;;;2535;4.4;;0.0044
;;;;2536;4.4;;0.0044
;;;;2537;8.5;;0.0085
;;;;2538;8.5;;0.0085
;;;;2539;8.5;;0.0085
;;;;2540;8.5;;0.0085
;;;;2541;4.81;;0.00481
;;;;2542;4.81;;0.00481
;;;;2543;4.81;;0.00481
;;;;2544;4.81;;0.00481
;;;;2545;1.1;;0.0011
;;;;2546;1.1;;0.0011
;;;;2547;1.1;;0.0011
;;;;2548;1.1;;0.0011
;;;;2549;2.1;;0.0021
;;;;2550;2.1;;0.0021
;;;;2551;2.1;;0.0021
;;;;2552;2.1;;0.0021
;;;;2553;8.6;;0.0086
;;;;2554;8.6;;0.0086
;;;;2555;8.6;;0.0086
;;;;2556;8.6;;0.0086
;;;;2557;3.96;;0.00396
;;;;2558;3.96;;0.00396
;;;;2559;3.96;;0.00396
;;;;2560;3.96;;0.00396
;;;;2561;7.7;;0.0077
